is_sarcastic,title,article_link,publishdate
1,Trump Mocks Biden Over Size Of Inauguration Crowd,https://www.burrardstreetjournal.com/trump-mocks-biden-inauguration-crowd/,2021-01-20T15:48:36+00:00
1,Donald Trump Jr. Tests Positive For Being A Dipshit,https://www.burrardstreetjournal.com/donald-trump-jr-tests-positive-for-being-a-dipshit/,2021-01-20T15:48:36+00:00
1,"Refusing To Concede, Kanye Demands Full Recount Of All 145 Million Votes",https://www.burrardstreetjournal.com/kanye-demands-recount/,2020-11-23T14:37:58+00:00
1,Trump Advised To Drink As Much Bleach As Possible,https://www.burrardstreetjournal.com/trump-advised-to-drink-as-much-bleach-as-possible/,2020-11-08T20:32:13+00:00
1,Alex Jones ‘Seriously Considering’ Presidential Run Given Current Field,https://www.burrardstreetjournal.com/alex-jones-running-for-president/,2020-10-01T22:14:06+00:00
1,Trump Mocks Biden Over Size Of Inauguration Crowd,https://www.burrardstreetjournal.com/trump-mocks-biden-inauguration-crowd/,2020-07-11T12:54:16+00:00
1,Donald Trump Jr. Tests Positive For Being A Dipshit,https://www.burrardstreetjournal.com/donald-trump-jr-tests-positive-for-being-a-dipshit/,2017-04-28T00:51:11+00:00
1,"Refusing To Concede, Kanye Demands Full Recount Of All 145 Million Votes",https://www.burrardstreetjournal.com/kanye-demands-recount/,2018-01-11T16:06:53+00:00
1,Trump Advised To Drink As Much Bleach As Possible,https://www.burrardstreetjournal.com/trump-advised-to-drink-as-much-bleach-as-possible/,2015-10-21T10:21:05+00:00
1,Alex Jones ‘Seriously Considering’ Presidential Run Given Current Field,https://www.burrardstreetjournal.com/alex-jones-running-for-president/,2016-09-17T12:07:04+00:00
1,Trump Mocks Biden Over Size Of Inauguration Crowd,https://www.burrardstreetjournal.com/trump-mocks-biden-inauguration-crowd/,2017-04-28T04:29:17+00:00
1,Donald Trump Jr. Tests Positive For Being A Dipshit,https://www.burrardstreetjournal.com/donald-trump-jr-tests-positive-for-being-a-dipshit/,2020-05-18T13:26:33+00:00
1,"Refusing To Concede, Kanye Demands Full Recount Of All 145 Million Votes",https://www.burrardstreetjournal.com/kanye-demands-recount/,2021-01-20T15:48:36+00:00
1,Trump Advised To Drink As Much Bleach As Possible,https://www.burrardstreetjournal.com/trump-advised-to-drink-as-much-bleach-as-possible/,2020-11-23T14:37:58+00:00
1,Alex Jones ‘Seriously Considering’ Presidential Run Given Current Field,https://www.burrardstreetjournal.com/alex-jones-running-for-president/,2020-11-08T20:32:13+00:00
1,Reality TV Star Somehow Doesn’t Become Leader Of Large North American Country,https://www.burrardstreetjournal.com/reality-tv-star-somehow-doesnt-become-leader-of-large-north-american-country/,2020-10-01T22:14:06+00:00
1,Mayor Robertson ‘Proud’ To Have Fulfilled Promise To End Housing Affordability And Increase Homelessness,https://www.burrardstreetjournal.com/mayor-robertson-proud-to-have-fulfilled-promises-to-end-housing-affordability-and-increase-homelessness/,2020-10-05T02:24:48+00:00
1,Rob Ford Announces Plans to Run for Conservative Leadership,https://www.burrardstreetjournal.com/rob-ford-announces-plans-to-run-for-conservative-leadership/,2020-08-04T00:40:45+00:00
1,Vancouver Residents Urged To ‘Remain Calm’ Amid Reports Of Mystery Liquid Falling From Sky,https://www.burrardstreetjournal.com/mystery-liquid-reportedly-falling-from-sky/,2020-07-01T03:06:10+00:00
1,Trump ‘Thankful’ For Russia’s Support In Inevitable War With Canada,https://www.burrardstreetjournal.com/trump-thankful-for-russias-support-in-inevitable-war-with-canada/,2020-03-30T18:50:52+00:00
1,Vancouver Steam Clock May Be Forced To Permanently Close Due To Covid-19,https://www.burrardstreetjournal.com/vancouver-steam-clock-closing-due-to-covid-19/,2020-03-21T00:34:57+00:00
1,Trump Mocks Biden Over Size Of Inauguration Crowd,https://www.burrardstreetjournal.com/trump-mocks-biden-inauguration-crowd/,2015-08-21T23:16:41+00:00
1,Donald Trump Jr. Tests Positive For Being A Dipshit,https://www.burrardstreetjournal.com/donald-trump-jr-tests-positive-for-being-a-dipshit/,2015-07-21T23:43:04+00:00
1,"Refusing To Concede, Kanye Demands Full Recount Of All 145 Million Votes",https://www.burrardstreetjournal.com/kanye-demands-recount/,2018-01-06T02:51:40+00:00
1,Trump Advised To Drink As Much Bleach As Possible,https://www.burrardstreetjournal.com/trump-advised-to-drink-as-much-bleach-as-possible/,2018-05-05T03:03:48+00:00
1,Man Utd Make Last-Minute Bid To Re-Sign Marouane Fellaini,https://www.burrardstreetjournal.com/manchester-united-re-sign-marouane-fellaini/,2017-09-05T03:32:13+00:00
1,"Phil Jones Shocked To Discover Football Has Returned, Claims Nobody Informed Him",https://www.burrardstreetjournal.com/phil-jones-shocked-to-discover-football-has-returned-claims-nobody-informed-him/,2015-08-24T01:41:29+00:00
1,Juventus Sign Cartoon Aardvark For £72.5 Million,https://www.burrardstreetjournal.com/juventus-sign-arthur/,2020-10-05T02:24:48+00:00
1,Respect. Lionel Messi Just Confirmed That All Barcelona Players Will Start Paying Taxes Due To Coronavirus,https://www.burrardstreetjournal.com/lionel-messi-paying-taxes-again-due-to-coronavirus/,2020-08-04T00:40:45+00:00
1,Football Manager Announces Coronavirus Update That Makes Game Unplayable Until April 30th,https://www.burrardstreetjournal.com/football-manager-coronavirus-update-announced/,2020-07-01T03:06:10+00:00
1,Pedro reveals reason for turning down Man Utd move: “I cannot compete with Ashley Young.”,https://www.burrardstreetjournal.com/pedro-reveals-reason-for-turning-down-man-utd-move-i-cannot-compete-with-ashley-young/,2020-03-30T18:50:52+00:00
1,Van Gaal accidentally announces Manchester United’s shocking new “surprise” striker.,https://www.burrardstreetjournal.com/van-gaal-accidentally-announces-manchester-uniteds-shocking-new-surprise-striker/,2021-01-20T15:48:36+00:00
1,Luis Suarez Claims Firmino Is ‘Completely Innocent’ Of Any Alleged Racism,https://www.burrardstreetjournal.com/luis-suarez-claims-firmino-is-completely-innocent-of-any-alleged-racism/,2020-11-23T14:37:58+00:00
1,Jack Rodwell Demands 50% Ownership In Sunderland To Tear Up Contract,https://www.burrardstreetjournal.com/jack-rodwell-demands-20-ownership-in-sunderland-to-tear-up-contract/,2020-11-08T20:32:13+00:00
